,labels_t,labels_r,Web_Page_URL,Tweet_Website,Author_Name,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Tweet_Number_of_share,Comment_Content,datetime,stars_t,stars_r,Tweet_Website_n,Web_Page_URL_n,tweet_id,name,year,month,year_month
11,3 stars,1 star,https://twitter.com/Bankia,https://twitter.com/Bankia/status/1311706441166868480,Bankia,1601570160000.0,"Sobre el proyecto de fusión con CaixaBank, el presidente de Bankia lo enmarca en la necesidad de asegurar la rentabilidad del sector financiero para “cumplir con su objetivo de financiar a familias y empresas y apoyar la recuperación socioeconómica de nuestro país”.",6.0,2.0,2.0,0,Trino patrocinado por Charcutería Fina Pasarratos: aquí te robo y quédate esperando,2020-10-01 16:36:00,3,1,https://twitter.com/Bankia/status/1311706441166868480,https://twitter.com/Bankia,1311706441166868480,Bankia,2020,10,2020-10-01
12,5 stars,5 stars,https://twitter.com/bbva,https://twitter.com/bbva/status/1311271869119696898,bbva,1601466550000.0,"En #BBVA celebramos el #DíaInternacionaldelPodcast como más nos gusta, ¡comenzando la cuarta temporada de Blink!  ¿De qué hablaremos?  Descúbrelo ",3.0,0.0,1.0,0,"Que no falte el simbolito de la agenda 2030, como buenos corporativistas",2020-09-30 11:49:10,5,5,https://twitter.com/bbva/status/1311271869119696898,https://twitter.com/bbva,1311271869119696898,bbva,2020,9,2020-09-01
13,1 star,1 star,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/bancosantander/status/1311696456361930753,bancosantander,1601567779000.0,"Cierre acción $SAN (Madrid): 1,5800€ (-1,23%)",5.0,2.0,1.0,0,"Cierre acción $SAN (Madrid): 1,5800€ (-1,23%)",2020-10-01 15:56:19,1,1,https://twitter.com/bancosantander/status/1311696456361930753,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1311696456361930753,bancosantander,2020,10,2020-10-01
14,5 stars,5 stars,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/EquiposyTalento/status/1310847102243803138,EquiposyTalento,1601365278000.0,"¿Cómo gestionar el #talento en la era digital y la incertidumbre? Con el apoyo de Anna Grau de  en #TalentDay20, Javier Martin de ,  de ,  de , Enrique Moreno de  hablarán sobre cómo gestionarlo en la #NuevaNormalidad",16.0,5.0,2.0,0,Gracias por comentar y seguir disfrutando de este #TalentDay20,2020-09-29 07:41:18,5,5,https://twitter.com/EquiposyTalento/status/1310847102243803138,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1310847102243803138,ING_es,2020,9,2020-09-01
15,5 stars,1 star,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/caixabank/status/1309396443254460416,caixabank,1601019414000.0,"En CaixaBank siempre nos hemos comprometido a formar parte del cambio. Por eso trabajamos a diario, desde todos los ángulos, para cumplir con la #Agenda2030 y sus #ODS. Porque nosotros #apoyamoslosODS con .
    #BancaSocialmenteResponsable ",47.0,36.0,26.0,0,"ayer fui a mi oficina a preguntar si me afectaria el cobro de los 240€ de mantenimiento que vais a comenzar a cobrar dado que estoy en el paro y sin prestacion ya y la respuesta del que estaba en la oficina fue ""si no hay ingresos de nomina si se cobra""
    de verguenza",2020-09-25 07:36:54,5,1,https://twitter.com/caixabank/status/1309396443254460416,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1309396443254460416,caixabank,2020,9,2020-09-01
16,3 stars,5 stars,https://twitter.com/Bankia,https://twitter.com/Bankia/status/1311706441166868480,Bankia,1601570160000.0,"Sobre el proyecto de fusión con CaixaBank, el presidente de Bankia lo enmarca en la necesidad de asegurar la rentabilidad del sector financiero para “cumplir con su objetivo de financiar a familias y empresas y apoyar la recuperación socioeconómica de nuestro país”.",6.0,2.0,2.0,0,"“Crear y gestionar entidades más fuertes, con un mayor tamaño crítico y mayor rentabilidad, es la mejor aportación que desde el sector financiero podemos hacer para ayudar a nuestra sociedad a superar esta crisis”, concluye Goirigolzarri. #foroguadarrama20",2020-10-01 16:36:00,3,5,https://twitter.com/Bankia/status/1311706441166868480,https://twitter.com/Bankia,1311706441166868480,Bankia,2020,10,2020-10-01
17,5 stars,5 stars,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1312044668402782208,BancoSabadell,1601650800000.0,Durante estos meses difíciles te hemos acompañado en todo momento. Nuestro lema #EstarDondeEstés significa estar siempre cerca de ti. Desde nuestro edificio en Sant Cugat te deseamos un buen fin de semana y te recordamos que el equipo de atención #24x7 te ayuda en ,10.0,4.0,1.0,0,Durante estos meses difíciles te hemos acompañado en todo momento. Nuestro lema #EstarDondeEstés significa estar siempre cerca de ti. Desde nuestro edificio en Sant Cugat te deseamos un buen fin de semana y te recordamos que el equipo de atención #24x7 te ayuda en ,2020-10-02 15:00:00,5,5,https://twitter.com/BancoSabadell/status/1312044668402782208,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1312044668402782208,BancoSabadell,2020,10,2020-10-01
18,5 stars,5 stars,https://twitter.com/bbva,https://twitter.com/bbva/status/1311271869119696898,bbva,1601466550000.0,"En #BBVA celebramos el #DíaInternacionaldelPodcast como más nos gusta, ¡comenzando la cuarta temporada de Blink!  ¿De qué hablaremos?  Descúbrelo ",3.0,0.0,1.0,0,"En #BBVA celebramos el #DíaInternacionaldelPodcast como más nos gusta, ¡comenzando la cuarta temporada de Blink!  ¿De qué hablaremos?  Descúbrelo ",2020-09-30 11:49:10,5,5,https://twitter.com/bbva/status/1311271869119696898,https://twitter.com/bbva,1311271869119696898,bbva,2020,9,2020-09-01
19,5 stars,1 star,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/bancosantander/status/1311684584334123008,bancosantander,1601564949000.0,"¿Has recibido algún mensaje sospechoso con nuestro nombre? ¡NO PIQUES! Desde el banco nunca te pediremos contraseñas ni número de PIN por mensajería privada o SMS.
    
    Aprende a protegerte de fraudes y conviértete en un #CiberHeroe ",89.0,33.0,5.0,0,"Yo ya no me debo preocupar, ya que me cerraron la cuenta arbitrariamente",2020-10-01 15:09:09,5,1,https://twitter.com/bancosantander/status/1311684584334123008,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1311684584334123008,bancosantander,2020,10,2020-10-01
20,5 stars,1 star,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/caixabank/status/1309396443254460416,caixabank,1601019414000.0,"En CaixaBank siempre nos hemos comprometido a formar parte del cambio. Por eso trabajamos a diario, desde todos los ángulos, para cumplir con la #Agenda2030 y sus #ODS. Porque nosotros #apoyamoslosODS con .
    #BancaSocialmenteResponsable ",47.0,36.0,26.0,0,"Se lo paso a la única persona conocida que tiene una cuenta importante allí.
    Blanquear la #Agenda2030 es colaborar con el GENOCIDIO, disfrazado de buenas palabras y malas acciones, como golpes de estado..",2020-09-25 07:36:54,5,1,https://twitter.com/caixabank/status/1309396443254460416,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1309396443254460416,caixabank,2020,9,2020-09-01
21,5 stars,4 stars,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/EquiposyTalento/status/1310847102243803138,EquiposyTalento,1601365278000.0,"¿Cómo gestionar el #talento en la era digital y la incertidumbre? Con el apoyo de Anna Grau de  en #TalentDay20, Javier Martin de ,  de ,  de , Enrique Moreno de  hablarán sobre cómo gestionarlo en la #NuevaNormalidad",16.0,5.0,2.0,0,"Fomentar la creatividad. Las 3B. Bed, bus and bathroom.  Ser creativos para adaptarnos a las nuevas circunstancias ",2020-09-29 07:41:18,5,4,https://twitter.com/EquiposyTalento/status/1310847102243803138,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1310847102243803138,ING_es,2020,9,2020-09-01
22,3 stars,3 stars,https://twitter.com/Bankia,https://twitter.com/Bankia/status/1311706441166868480,Bankia,1601570160000.0,"Sobre el proyecto de fusión con CaixaBank, el presidente de Bankia lo enmarca en la necesidad de asegurar la rentabilidad del sector financiero para “cumplir con su objetivo de financiar a familias y empresas y apoyar la recuperación socioeconómica de nuestro país”.",6.0,2.0,2.0,0,"Sobre el proyecto de fusión con CaixaBank, el presidente de Bankia lo enmarca en la necesidad de asegurar la rentabilidad del sector financiero para “cumplir con su objetivo de financiar a familias y empresas y apoyar la recuperación socioeconómica de nuestro país”.",2020-10-01 16:36:00,3,3,https://twitter.com/Bankia/status/1311706441166868480,https://twitter.com/Bankia,1311706441166868480,Bankia,2020,10,2020-10-01
23,2 stars,1 star,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/BancoSabadell/status/1311982125437063168,BancoSabadell,1601635888000.0,"#CMSBeOpen | Manuel Sancho, Head of Customer Experience: "" apuesta por poner al cliente en el centro de su estrategia. La tecnología y la #Digitalización, en nuestro caso, son habilitadores para ofrecer una mejor experiencia de cliente""  #EstarDondeEstés#CMSBeOpen | Manuel Sancho: ""La prioridad de @BancoSabadell cuando se decretó el estado de alarma fue estar siempre cerca de sus clientes. Los llamamos para saber si estaban bien y les ofrecimos ayuda. Queríamos que no se preocupasen"" @CMSPeople #EstarDondeEstés",1.0,2.0,0.0,0,undefined,2020-10-02 10:51:28,2,1,https://twitter.com/BancoSabadell/status/1311982125437063168,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1311982125437063168,BancoSabadell,2020,10,2020-10-01
24,5 stars,1 star,https://twitter.com/bbva,https://twitter.com/bbva/status/1311003584658657283,bbva,1601402586000.0,¿Estás pensando en viajar?  Si eres cliente de    disfrutarás de numerosos beneficios al pagar con tarjeta los servicios de  . ¡Aprovecha tu oportunidad! ,6.0,2.0,0.0,0,undefined,2020-09-29 18:03:06,5,1,https://twitter.com/bbva/status/1311003584658657283,https://twitter.com/bbva,1311003584658657283,bbva,2020,9,2020-09-01
25,4 stars,5 stars,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/sabadellprensa/status/1312017575841329152,sabadellprensa,1601644340000.0,¿Cómo serán las #Pensiones del futuro? Los expertos recomiendan una reforma del sistema y advierten de la importancia del ahorro personal  vía  #EstarDondeEstés,4.0,2.0,3.0,0,¿En el futuro habrá pensiones? Lo dudo mucho. Tengo 27 años y no cuento con una pensión pública para mi vejez ni de broma. Tenemos que ahorrar e invertir en crear un patrimonio propio.,2020-10-02 13:12:20,4,5,https://twitter.com/sabadellprensa/status/1312017575841329152,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1312017575841329152,BancoSabadell,2020,10,2020-10-01
26,5 stars,1 star,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/bancosantander/status/1311684584334123008,bancosantander,1601564949000.0,"¿Has recibido algún mensaje sospechoso con nuestro nombre? ¡NO PIQUES! Desde el banco nunca te pediremos contraseñas ni número de PIN por mensajería privada o SMS.
    
    Aprende a protegerte de fraudes y conviértete en un #CiberHeroe ",89.0,33.0,5.0,0,"Si, como el que retiraron 145,000 de una cuenta a mi nombre y lo depositaron a otra cuenta ami nombre en el mismo banco y fueron retirados cuando yo solo tengo una cuenta en ese banco. En un mes me resuelven...",2020-10-01 15:09:09,5,1,https://twitter.com/bancosantander/status/1311684584334123008,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1311684584334123008,bancosantander,2020,10,2020-10-01
27,5 stars,5 stars,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/EquiposyTalento/status/1310847102243803138,EquiposyTalento,1601365278000.0,"¿Cómo gestionar el #talento en la era digital y la incertidumbre? Con el apoyo de Anna Grau de  en #TalentDay20, Javier Martin de ,  de ,  de , Enrique Moreno de  hablarán sobre cómo gestionarlo en la #NuevaNormalidad",16.0,5.0,2.0,0,"Empoderar equipos, responsabilidad y confianza. Nuevos mánagers con nuevas habilidades. Compensar el alejamiento físico. Retos que estamos abordando ",2020-09-29 07:41:18,5,5,https://twitter.com/EquiposyTalento/status/1310847102243803138,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1310847102243803138,ING_es,2020,9,2020-09-01
28,5 stars,5 stars,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/caixabank/status/1309396443254460416,caixabank,1601019414000.0,"En CaixaBank siempre nos hemos comprometido a formar parte del cambio. Por eso trabajamos a diario, desde todos los ángulos, para cumplir con la #Agenda2030 y sus #ODS. Porque nosotros #apoyamoslosODS con .
    #BancaSocialmenteResponsable ",47.0,36.0,26.0,0,"No meto un duro en vuestro banco agenda 2030, un mojón para vosotros.",2020-09-25 07:36:54,5,5,https://twitter.com/caixabank/status/1309396443254460416,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1309396443254460416,caixabank,2020,9,2020-09-01
29,3 stars,5 stars,https://twitter.com/Bankia,https://twitter.com/Bankia/status/1311706441166868480,Bankia,1601570160000.0,"Sobre el proyecto de fusión con CaixaBank, el presidente de Bankia lo enmarca en la necesidad de asegurar la rentabilidad del sector financiero para “cumplir con su objetivo de financiar a familias y empresas y apoyar la recuperación socioeconómica de nuestro país”.",6.0,2.0,2.0,0,"“El apoyo a las empresas es la mejor forma de asegurar la recuperación de los empleos y del tejido productivo del país”, defiende el presidente de Bankia, que pide a las administraciones “un caldo de cultivo capaz de atraer y retener talento e inversiones”. #foroguadarrama20",2020-10-01 16:36:00,3,5,https://twitter.com/Bankia/status/1311706441166868480,https://twitter.com/Bankia,1311706441166868480,Bankia,2020,10,2020-10-01
30,4 stars,4 stars,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/sabadellprensa/status/1312017575841329152,sabadellprensa,1601644340000.0,¿Cómo serán las #Pensiones del futuro? Los expertos recomiendan una reforma del sistema y advierten de la importancia del ahorro personal  vía  #EstarDondeEstés,4.0,2.0,3.0,0,¿Cómo serán las #Pensiones del futuro? Los expertos recomiendan una reforma del sistema y advierten de la importancia del ahorro personal  vía  #EstarDondeEstés,2020-10-02 13:12:20,4,4,https://twitter.com/sabadellprensa/status/1312017575841329152,https://twitter.com/BancoSabadell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1312017575841329152,BancoSabadell,2020,10,2020-10-01
31,5 stars,1 star,https://twitter.com/bbva,https://twitter.com/bbva/status/1311025496541540353,bbva,1601407810000.0, BBVA Executive Chairman Carlos Torres Vila and Queen Letizia shone the spotlight on the work of Latin American women #entrepreneurs in an event organised by . Learn more #MujeresIncansablesFMBBVA ,9.0,2.0,0.0,0,undefined,2020-09-29 19:30:10,5,1,https://twitter.com/bbva/status/1311025496541540353,https://twitter.com/bbva,1311025496541540353,bbva,2020,9,2020-09-01
32,5 stars,5 stars,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/EquiposyTalento/status/1310847102243803138,EquiposyTalento,1601365278000.0,"¿Cómo gestionar el #talento en la era digital y la incertidumbre? Con el apoyo de Anna Grau de  en #TalentDay20, Javier Martin de ,  de ,  de , Enrique Moreno de  hablarán sobre cómo gestionarlo en la #NuevaNormalidad",16.0,5.0,2.0,0,"¿Cómo gestionar el #talento en la era digital y la incertidumbre? Con el apoyo de Anna Grau de  en #TalentDay20, Javier Martin de ,  de ,  de , Enrique Moreno de  hablarán sobre cómo gestionarlo en la #NuevaNormalidad",2020-09-29 07:41:18,5,5,https://twitter.com/EquiposyTalento/status/1310847102243803138,https://twitter.com/ING_es?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1310847102243803138,ING_es,2020,9,2020-09-01
33,5 stars,1 star,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/caixabank/status/1309396443254460416,caixabank,1601019414000.0,"En CaixaBank siempre nos hemos comprometido a formar parte del cambio. Por eso trabajamos a diario, desde todos los ángulos, para cumplir con la #Agenda2030 y sus #ODS. Porque nosotros #apoyamoslosODS con .
    #BancaSocialmenteResponsable ",47.0,36.0,26.0,0,"El lunes anulo la cuenta que tengo ahí, la de mi familia y la de la empresa de mis primos.",2020-09-25 07:36:54,5,1,https://twitter.com/caixabank/status/1309396443254460416,https://twitter.com/caixabank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1309396443254460416,caixabank,2020,9,2020-09-01
34,5 stars,1 star,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://twitter.com/bancosantander/status/1311684584334123008,bancosantander,1601564949000.0,"¿Has recibido algún mensaje sospechoso con nuestro nombre? ¡NO PIQUES! Desde el banco nunca te pediremos contraseñas ni número de PIN por mensajería privada o SMS.
    
    Aprende a protegerte de fraudes y conviértete en un #CiberHeroe ",89.0,33.0,5.0,0,"Me viven llegando mail para ""reactivar"" cuenta...a qué mail se los envio ??",2020-10-01 15:09:09,5,1,https://twitter.com/bancosantander/status/1311684584334123008,https://twitter.com/bancosantander?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,1311684584334123008,bancosantander,2020,10,2020-10-01
35,3 stars,4 stars,https://twitter.com/Bankia,https://twitter.com/Bankia/status/1311706441166868480,Bankia,1601570160000.0,"Sobre el proyecto de fusión con CaixaBank, el presidente de Bankia lo enmarca en la necesidad de asegurar la rentabilidad del sector financiero para “cumplir con su objetivo de financiar a familias y empresas y apoyar la recuperación socioeconómica de nuestro país”.",6.0,2.0,2.0,0,"A punto de comenzar el #foroguadarrama20, encuentro empresarial organizado en #Madrid por la revista , que inaugura el presidente de Bankia, José Ignacio Goirigolzarri. Sigue la retransmisión en directo desde: ",2020-10-01 16:36:00,3,4,https://twitter.com/Bankia/status/1311706441166868480,https://twitter.com/Bankia,1311706441166868480,Bankia,2020,10,2020-10-01
36,5 stars,5 stars,https://twitter.com/Bankia,https://twitter.com/Bankia/status/1311705472114794498,Bankia,1601569929000.0,"“El apoyo a las empresas es la mejor forma de asegurar la recuperación de los empleos y del tejido productivo del país”, defiende el presidente de Bankia, que pide a las administraciones “un caldo de cultivo capaz de atraer y retener talento e inversiones”. #foroguadarrama20",10.0,3.0,1.0,0,"“Crear y gestionar entidades más fuertes, con un mayor tamaño crítico y mayor rentabilidad, es la mejor aportación que desde el sector financiero podemos hacer para ayudar a nuestra sociedad a superar esta crisis”, concluye Goirigolzarri. #foroguadarrama20",2020-10-01 16:32:09,5,5,https://twitter.com/Bankia/status/1311705472114794498,https://twitter.com/Bankia,1311705472114794498,Bankia,2020,10,2020-10-01
